RIDE_ID,LABEL
5f1204d8804367476111925fb8ad6e2b0b289087810a4963f8b961f863cb5f83,Bad weather
364cbd35e6df9bc2d89ac2040adefcaaf9c98cfd43ed3c2044d8042860994a37,Bad weather
25c833334528703505857f0c679324b972c1bd2f487569ebbcf2e8dff4b2edea,Bad weather
8f92b89c0fbfe25efc441e0c956ba5e494ecc93de34bb0fd4beb795294a09004,Bad weather
6168652a6e1897fb0cea9cd020e0224bed82393183df57a399f3f8c1adb31137,Bad weather
fa2cfd13d67da791dad435ca798586fad307c1a69e65a4e11e6708a980d79ed9,Bad weather
059d6ccd5096d072b482a2f6e06639682026970095865a26b6c3f749d8c82cf2,Bad weather
3d494bff5343cc1fdf6e6100c5bc78885c7853e601e702520fb2a640b581055d,Bad weather
7fd10d4f6d84a1d61b1db40ed784ba27f2688f9d0b08087bf8e245ee9f35f2e2,Bad weather
073fc60eb0ae9736d2773cac9664160407c5a685569a53e3dc648987ceddff9a,Bad weather
55a125c613ca448ed7ec721a9c04f0e63500247a93f66bc66ed1f20bd06a7e86,Bad weather
ecb0c9a53ac1b8dcc74a5419984377c676075d33ab8e5b64038ef168c638ac3d,Bad weather
a144403a70e4dc3a1e1b157fd102a6c74b87a6d74587737c8f63677176540455,Bad weather
0e6f85de5373927bf51499b82716774f1b55358b7975f735f723e025663b550e,Bad weather
e04b229efdb68c6f864975ee154c4edfd3ba6ecd3e3c9d0197b106fcc15d0728,Bad weather
e429df417be0e7490f554bae89c1501eda2c282d58ff8525d9238a1ebb4ab55e,Bad weather
0236bdcf13d473ea24d97f5eaeea459f257dffac00569427e4f0aa2036d53f09,Bad weather
791d917b9d8fe7fd6ea5ee518c3d91341371498195d6d3c900c6caa380ddcedb,Bad weather
b74ee1a4b03bc9f1244ff6a30b41406998f5dddd9cabda51f9d1def902e80128,Bad weather
8ba3a63fc3e159116262b071f72d6490212af246e02fc9245c26329fca563ff8,Bad weather
fb5ad2813a1df7733f8c7abf897dcf45f6a3b10f575970db9331dfe816a3e9fc,Bad weather
7aa0505988a9ebb7f2c80b0b67f9358ead7d0592ba959ad70a503bc263d79f0b,Bad weather
08d6ca212bdc3aaf0d2437d2edcdfc4e59578e8a3bfb3733b81d0c23196e1e79,Reckless
c3e962b4175b9683364f6bdc16fcf78601d3efe32b32fa85f7c5fad5f875aa9e,Reckless
00d223cb7aecc9c0cc5871e32a6c45027a068eba07c572a006b79dbf1801802c,Reckless
bc3a359722aa3e8335718c70d4ea1fd2f3d60764777c1c4182c528d0aa3b59e7,Reckless
fb684d4bc577c517182977f5c29508cb60b9ebf5c1028680e61fb0bc84e12dc9,Reckless
a7ce7f3adb728eb0fe3b8641d5b928d419a3ebd6fd1db33b6e8c66bd59a78b1e,Reckless
fa8e301c17474250441753b7d9d01b4ebf95d809eba34240060bf4ec7ece15c7,Safe
33e08763fa90d3ff53f838cb72947f2169e66c45f3688b60dfc6e521b8025b2f,Safe
1e8f0c308efd6d0d53c05fd2e7fb4ea39081de9760fc15052ea1990cdfc1c853,Safe
b48d38ec34f4c029e28aaf2ef8c22648451d04184ec5255b6a0062e5bf39e40d,Safe
59eeaff94a7136674b7c9e440766e6af7b717c97c522f106b506a5c9d847c14b,Safe
8f9e9af2fe6eca30b813c74e71f3612b8182e9fdf3941d37647febeac763f50b,Safe
523283f8046ee2381ae534c4df3d69a33df488f419dd9a3ea41ead52e7c4402e,Safe
b92c0abf4269037347272c573474b930bbe840b0287819abd202adf4612ffab9,Safe
02288a4aeca044203394e982e76b87818021dea2b34df92c0d9f3ef9a081d4cd,Safe
581caf667426feb3f908fe9d040ef69c329081d3b15d9fea6679106a27d9c85c,Safe
b9bfc88592183c7ce967c8c214ad473c3c59c5bc0b443b5325146a9b17dc3ca6,Safe
41ab7e7aac444d892412a62ed5a5fa9eb41ac060533fdd6473087edd1d922a4e,Safe
27d136c1da4cb7b33d822753869aaaf80f091764d42a1dbf2475d39fd5599e74,Safe
